STATIONID,STATIONNAME,WALKING_TIME_MAX,WALKING_TIME_MIN,WALKING_TIME_AVER,DIRECTOR_E,TIME_TYPE,DATE_TYPE
150997283,七里庄,90,90,90,出站,高峰,工作日
150997283,七里庄,90,90,90,出站,平峰,工作日
150997285,丰台东大街,90,90,90,进站,高峰,工作日
150997285,丰台东大街,90,90,90,进站,平峰,工作日
150997285,丰台东大街,90,90,90,进站,全天,双休日
150997285,丰台东大街,90,90,90,出站,全天,双休日
150997285,丰台东大街,90,90,90,出站,高峰,工作日
150997285,丰台东大街,90,90,90,出站,平峰,工作日
150997287,丰台南路,90,90,90,进站,高峰,工作日
150997287,丰台南路,90,90,90,进站,平峰,工作日
150997287,丰台南路,90,90,90,进站,全天,双休日
150997287,丰台南路,90,90,90,出站,全天,双休日
150997287,丰台南路,90,90,90,出站,高峰,工作日
150997287,丰台南路,90,90,90,出站,平峰,工作日
150997289,科怡路,90,90,90,进站,高峰,工作日
150997289,科怡路,90,90,90,进站,平峰,工作日
150997289,科怡路,90,90,90,进站,全天,双休日
150997289,科怡路,90,90,90,出站,全天,双休日
150997289,科怡路,90,90,90,出站,高峰,工作日
150997289,科怡路,90,90,90,出站,平峰,工作日
150997291,丰台科技园,90,90,90,进站,高峰,工作日
150997291,丰台科技园,90,90,90,进站,平峰,工作日
150997291,丰台科技园,90,90,90,进站,全天,双休日
150997291,丰台科技园,90,90,90,出站,全天,双休日
150997291,丰台科技园,90,90,90,出站,高峰,工作日
150997291,丰台科技园,90,90,90,出站,平峰,工作日
150997293,郭公庄,90,90,90,进站,高峰,工作日
150997293,郭公庄,90,90,90,进站,平峰,工作日
150997293,郭公庄,90,90,90,进站,全天,双休日
150997293,郭公庄,90,90,90,出站,全天,双休日
150997293,郭公庄,90,90,90,出站,高峰,工作日
150997293,郭公庄,90,90,90,出站,平峰,工作日
150997505,巴沟,130,35,80,进站,高峰,工作日
150997505,巴沟,128,34,79,进站,平峰,工作日
150995993,西苑,54,17,34,进站,平峰,工作日
150995993,西苑,68,25,45,出站,平峰,工作日
150995993,西苑,54,17,34,进站,全天,双休日
150995993,西苑,68,25,45,出站,全天,双休日
150995995,圆明园,52,10,31,进站,高峰,工作日
150995995,圆明园,103,22,63,出站,高峰,工作日
150995995,圆明园,54,17,34,进站,平峰,工作日
150995995,圆明园,68,25,45,出站,平峰,工作日
150995995,圆明园,54,17,34,进站,全天,双休日
150995995,圆明园,68,25,45,出站,全天,双休日
150995997,北京大学东门,52,10,31,进站,高峰,工作日
150995997,北京大学东门,103,22,62,出站,高峰,工作日
150995997,北京大学东门,107,39,70,进站,平峰,工作日
150995997,北京大学东门,136,43,85,出站,平峰,工作日
150995997,北京大学东门,107,39,70,进站,全天,双休日
150995997,北京大学东门,136,43,85,出站,全天,双休日
150995999,中关村,52,10,31,进站,高峰,工作日
150995999,中关村,103,22,63,出站,高峰,工作日
150995999,中关村,54,17,34,进站,平峰,工作日
150995999,中关村,68,25,45,出站,平峰,工作日
150995999,中关村,54,17,34,进站,全天,双休日
150995999,中关村,68,25,45,出站,全天,双休日
150996001,海淀黄庄,168,74,120,进站,高峰,工作日
150996001,海淀黄庄,252,102,171,出站,高峰,工作日
150996001,海淀黄庄,187,97,144,进站,平峰,工作日
150996001,海淀黄庄,236,111,175,出站,平峰,工作日
150996001,海淀黄庄,187,97,144,进站,全天,双休日
150996001,海淀黄庄,236,111,175,出站,全天,双休日
150996003,人民大学,52,10,31,进站,高峰,工作日
150996003,人民大学,103,22,63,出站,高峰,工作日
150996003,人民大学,54,17,34,进站,平峰,工作日
150996003,人民大学,68,25,45,出站,平峰,工作日
150996003,人民大学,54,17,34,进站,全天,双休日
150996003,人民大学,68,25,45,出站,全天,双休日
150996005,魏公村,52,10,31,进站,高峰,工作日
150996005,魏公村,103,22,63,出站,高峰,工作日
150996005,魏公村,54,17,34,进站,平峰,工作日
150996005,魏公村,68,25,45,出站,平峰,工作日
150996005,魏公村,54,17,34,进站,全天,双休日
150996005,魏公村,68,25,45,出站,全天,双休日
150996007,国家图书馆,48,18,32,进站,高峰,工作日
150996007,国家图书馆,69,19,44,出站,高峰,工作日
150996007,国家图书馆,49,21,36,进站,平峰,工作日
150996007,国家图书馆,71,25,48,出站,平峰,工作日
150996007,国家图书馆,49,21,36,进站,全天,双休日
150996007,国家图书馆,71,25,48,出站,全天,双休日
150996009,动物园,52,10,31,进站,高峰,工作日
150996009,动物园,103,22,63,出站,高峰,工作日
150996009,动物园,54,17,34,进站,平峰,工作日
150996009,动物园,68,25,45,出站,平峰,工作日
150996009,动物园,54,17,34,进站,全天,双休日
150996009,动物园,68,25,45,出站,全天,双休日
150996011,西直门,401,182,286,进站,高峰,工作日
150996011,西直门,442,233,342,出站,高峰,工作日
150996011,西直门,493,234,355,进站,平峰,工作日
150996011,西直门,581,232,409,出站,平峰,工作日
150996011,西直门,493,234,355,进站,全天,双休日
150996011,西直门,581,232,409,出站,全天,双休日
150996013,新街口,52,10,31,进站,高峰,工作日
150996013,新街口,103,22,63,出站,高峰,工作日
150996013,新街口,54,17,34,进站,平峰,工作日
150996013,新街口,68,25,45,出站,平峰,工作日
150996013,新街口,54,17,34,进站,全天,双休日
150996013,新街口,68,25,45,出站,全天,双休日
150996015,平安里,52,10,31,进站,高峰,工作日
150996015,平安里,103,22,62,出站,高峰,工作日
150996015,平安里,107,39,70,进站,平峰,工作日
