BlockSectionID,BSLength
S14113-S14112,1602
S14113-S14114,1780
S14114-S14113,1780
S14114-S14115,897
S14115-S14114,897
S14115-S14116,1128
S14116-S14115,1128
S14116-S14117,2423
S14117-S14116,2423
S14117-S14118,1618
S14118-S14117,1618
S14118-S14119,1486
S14119-S14118,1486
S14119-S14120,1025
S14120-S14119,1025
S14120-S14121,1119
S14121-S14120,1119
S14121-S14122,1063
S14122-S14121,1063
S14122-S14123,887
S14123-S14122,887
S15001-S15002,1759
S15001-S15014,1759
S15002-S15001,1652
S15002-S15003,1652
S15003-S15002,2295
S15003-S15004,2295
S15004-S15003,2009
S15004-S15005,2009
S15005-S15004,3309
S15005-S15006,3309
S15006-S15005,3387
S15006-S15007,3387
S15007-S15006,1616
S15007-S15008,1616
S15008-S15007,3354
S15008-S15009,3354
S15009-S15008,4567
S15009-S15010,4567
S15010-S15009,2712
S15010-S15011,2712
S15011-S15010,1332
S15011-S15012,1332
S15012-S15011,2441
S15012-S15013,2441
S15013-S15012,2071
S15014-S15001,1087
S15014-S15015,938
S15015-S15014,1368
S15015-S15016,1999
S15016-S15015,1337
S15016-S15017,1144
S15017-S15016,2071
S15017-S15018,1087
S15018-S15017,938
S15018-S15020,1368
S15020-S15018,1999
S15020-S15021,1337
S15021-S15020,1144
S16001-S16002,2653
S16002-S16001,2653
S16002-S16003,2310
S16003-S16002,2310
S16003-S16004,2352
S16004-S16003,2352
S16004-S16005,1961
S16005-S16004,1961
S16005-S16006,1315
S16006-S16005,1315
S16006-S16007,2108
S16007-S16006,2108
S16007-S16008,2196
S16008-S16007,2196
S16008-S16009,1517
S16009-S16008,1517
S16009-S16010,2690
S16010-S16009,2690
S16102-S16103,2736
S16103-S16102,2736
S16103-S16104,843
S16104-S16103,843
S16104-S16105,1064
S16105-S16104,1064
S16105-S16106,1044
S16106-S16105,1044
S16106-S16107,1267
S16107-S16106,1267
S16107-S16108,1297
S16108-S16107,1297
